,Clear Sky,DHI,DNI,Output power,day,month,year,hour
25,907.6660382265763,202.29018503475118,616.3551007051949,6483.657125020046,29.0,5.0,2019.0,21.0
26,889.7836988671354,197.16865160226433,600.9828057733664,6204.913814699775,29.0,5.0,2019.0,22.0
27,855.7446724854508,188.0560226785597,572.325139037065,5541.472174631426,29.0,5.0,2019.0,23.0
28,792.7293552432599,189.57854599984282,456.2615926037013,4250.530898857067,30.0,5.0,2019.0,0.0
29,666.9061614527459,144.93486082359257,359.9642271015235,2816.057559362901,30.0,5.0,2019.0,1.0
30,362.17249341465276,37.81895362422305,198.35177370706842,902.8835842074452,30.0,5.0,2019.0,2.0
31,0.0,5.6539534335797,0.0,43.911594740540295,30.0,5.0,2019.0,3.0
32,0.0,5.627039575873597,0.0,43.77351320376216,30.0,5.0,2019.0,4.0
33,0.0,5.627039575873597,0.0,43.77351320376216,30.0,5.0,2019.0,5.0
34,0.0,4.582899549958274,0.0,35.65100462803649,30.0,5.0,2019.0,6.0
35,0.0,4.535783758607921,0.0,35.284484420212976,30.0,5.0,2019.0,7.0
36,0.0,4.535783758607921,0.0,35.284484420212976,30.0,5.0,2019.0,8.0
37,0.0,4.530142794304242,0.0,35.240602584640364,30.0,5.0,2019.0,9.0
38,0.0,4.530142794304242,0.0,35.240602584640364,30.0,5.0,2019.0,10.0
39,0.0,4.401061496145359,0.0,34.2364614491234,30.0,5.0,2019.0,11.0
40,0.0,4.401061496145359,0.0,34.2364614491234,30.0,5.0,2019.0,12.0
41,61.89553161814905,26.545604570559895,0.0,206.83658852535973,30.0,5.0,2019.0,13.0
42,537.4615369887775,95.01663850135797,148.39487072503607,625.9708349170685,30.0,5.0,2019.0,14.0
43,735.9055894419104,185.79759336208673,239.15588330352088,1687.5626490797135,30.0,5.0,2019.0,15.0
44,826.1186231978528,235.03298862458308,292.6880116363121,2647.0933301946884,30.0,5.0,2019.0,16.0
45,873.4649690060714,259.14889153652086,323.6155957378907,3457.024800467718,30.0,5.0,2019.0,17.0
46,899.2287229243256,197.21422785037257,619.4244891887654,5179.522992384794,30.0,5.0,2019.0,18.0
47,911.7326837824228,200.14837578501667,631.0238489053497,5968.05682039698,30.0,5.0,2019.0,19.0
48,914.2808955218619,200.16896255888096,634.3290797611562,6427.396496676292,30.0,5.0,2019.0,20.0
49,907.4946382942738,198.1500566258193,626.4070046503098,6532.003586231992,30.0,5.0,2019.0,21.0
50,889.6873308262341,194.1558439225368,612.8811251105149,6264.9682250074065,30.0,5.0,2019.0,22.0
51,855.7962481168256,185.54798662310333,582.0349005472295,5593.269937387852,30.0,5.0,2019.0,23.0
52,793.1119802943239,173.73299119889685,507.0369879052336,4439.75590901786,31.0,5.0,2019.0,0.0
53,668.1538791730289,135.2119398668349,409.35131796537746,2975.8538227838203,31.0,5.0,2019.0,1.0
54,366.3416140444786,35.99642176763027,226.11307678194618,974.5498776603895,31.0,5.0,2019.0,2.0
55,0.0,5.510446172024198,0.0,42.79704139556163,31.0,5.0,2019.0,3.0
56,0.0,5.549435888502067,0.0,43.09985616917761,31.0,5.0,2019.0,4.0
57,0.0,5.580993728448757,0.0,43.41531623659106,31.0,5.0,2019.0,5.0
58,0.0,5.006387528450348,0.0,38.94537573884913,31.0,5.0,2019.0,6.0
59,0.0,4.941749594357702,0.0,38.50485396656267,31.0,5.0,2019.0,7.0
60,0.0,4.895226679274516,0.0,38.142359263589015,31.0,5.0,2019.0,8.0
61,0.0,4.829994816123316,0.0,37.63408920322991,31.0,5.0,2019.0,9.0
62,0.0,4.830878790935687,0.0,37.70188463940961,31.0,5.0,2019.0,10.0
63,0.0,4.830878790935676,0.0,37.70188463940952,31.0,5.0,2019.0,11.0
64,0.0,4.830878790935676,0.0,37.70188463940952,31.0,5.0,2019.0,12.0
65,64.07865631310445,26.438163063236917,0.0,206.3327640839019,31.0,5.0,2019.0,13.0
66,538.3899075654374,93.16788089292928,159.07262946108676,605.1318331564487,31.0,5.0,2019.0,14.0
67,736.0322246022165,183.7656997499094,253.60747464652363,1687.025210972586,31.0,5.0,2019.0,15.0
68,826.0114046601717,237.94559676046396,306.417845124238,2708.4994451112852,31.0,5.0,2019.0,16.0
69,873.2740882984186,263.42264292875467,339.7941066568033,3562.3657350492235,31.0,5.0,2019.0,17.0
70,899.0082467434398,175.7511707628991,684.5589846900672,5395.967220687348,31.0,5.0,2019.0,18.0
71,911.5092185695788,178.0208674756967,697.1843142122151,6258.863126752896,31.0,5.0,2019.0,19.0
72,914.0739376504135,177.99392273167686,700.1181085032455,6772.78390126648,31.0,5.0,2019.0,20.0
73,907.3264902385931,176.80250920124269,691.5041417150411,6886.315933634112,31.0,5.0,2019.0,21.0
74,889.5935489684656,173.00388179085851,675.2794939613018,6598.356713411605,31.0,5.0,2019.0,22.0
75,855.8479345871298,165.12477543388303,643.5740542135256,5886.34798334556,31.0,5.0,2019.0,23.0
76,793.4877260063141,149.93158759071505,590.1656929371266,4773.080080835553,1.0,6.0,2019.0,0.0
77,669.3716694212494,112.4792753704993,488.8130178847445,3187.6527084409418,1.0,6.0,2019.0,1.0
78,370.39269172249067,32.423329078327306,276.0550982289767,1106.6361079387368,1.0,6.0,2019.0,2.0
79,0.0,5.0477663380552045,0.0,39.330909426504164,1.0,6.0,2019.0,3.0
80,0.0,5.0477663380552045,0.0,39.330909426504164,1.0,6.0,2019.0,4.0
81,0.0,5.0477663380552045,0.0,39.330909426504164,1.0,6.0,2019.0,5.0
82,0.0,4.684517183519352,0.0,36.500564549287,1.0,6.0,2019.0,6.0
83,0.0,4.525962101953321,0.0,35.265143744411105,1.0,6.0,2019.0,7.0
84,0.0,4.498201155484166,0.0,34.99212419208822,1.0,6.0,2019.0,8.0
85,0.0,4.277337382393046,0.0,33.273994586409046,1.0,6.0,2019.0,9.0
86,0.0,4.277337382393046,0.0,33.273994586409046,1.0,6.0,2019.0,10.0
87,0.0,4.277337382393046,0.0,33.273994586409046,1.0,6.0,2019.0,11.0
88,0.0,4.322710538610798,0.0,33.62695859634952,1.0,6.0,2019.0,12.0
89,66.09123556761467,27.240689765376217,0.0,211.90906462376554,1.0,6.0,2019.0,13.0
90,539.202197888776,99.07107152027672,151.61307717515953,655.4885881018163,1.0,6.0,2019.0,14.0
91,736.1189844418392,195.07928125133995,247.85219862719262,1764.3071604866236,1.0,6.0,2019.0,15.0
92,825.8886260960751,243.91816425462795,304.6598851152332,2741.5335481024285,1.0,6.0,2019.0,16.0
93,873.0776619846114,266.8237604975037,339.3884254151812,3575.312800412531,1.0,6.0,2019.0,17.0
94,898.7870656653016,205.05372173788615,600.7405542204136,5121.092478005271,1.0,6.0,2019.0,18.0
95,911.2875712260579,207.5514399606583,613.1365857613697,5889.447131683592,1.0,6.0,2019.0,19.0
96,913.8700450272574,208.1153477678184,615.4977817380134,6353.45568740256,1.0,6.0,2019.0,20.0
97,907.1617228619679,206.67564604450703,608.2453097297808,6453.339172516318,1.0,6.0,2019.0,21.0
98,889.5024226658447,202.63800229979114,592.312415595183,6182.522708874431,1.0,6.0,2019.0,22.0
99,855.8997131890623,194.44132479594268,562.75970806071,5528.1204856011145,1.0,6.0,2019.0,23.0
100,793.8564281425457,177.7360446299494,511.1178810438339,4493.721582099014,2.0,6.0,2019.0,0.0
101,670.5591740141305,139.7612919437566,412.407152278064,3031.562917048228,2.0,6.0,2019.0,1.0
102,374.3249102239673,39.30518819596056,226.97432229004247,1007.1192182470755,2.0,6.0,2019.0,2.0
103,0.0,5.3435328603129975,0.0,41.500704277336865,2.0,6.0,2019.0,3.0
104,0.0,5.368451113190317,0.0,41.69423261725783,2.0,6.0,2019.0,4.0
105,0.0,5.329860036892841,0.0,41.46171278045653,2.0,6.0,2019.0,5.0
106,0.0,4.6177349353500095,0.0,35.92199387235269,2.0,6.0,2019.0,6.0
107,0.0,4.6177349353500095,0.0,35.92199387235269,2.0,6.0,2019.0,7.0
108,0.0,4.703448416603697,0.0,36.58877080768573,2.0,6.0,2019.0,8.0
109,0.0,4.592955913661604,0.0,35.78714245908417,2.0,6.0,2019.0,9.0
110,0.0,4.660647072148565,0.0,36.31457472221297,2.0,6.0,2019.0,10.0
111,0.0,4.660647072148565,0.0,36.31457472221297,2.0,6.0,2019.0,11.0
112,0.0,4.644833678381688,0.0,36.19136078632181,2.0,6.0,2019.0,12.0
113,67.92673361549676,26.57775333165804,0.0,207.08708348218704,2.0,6.0,2019.0,13.0
114,539.9009773653909,96.69294852604426,163.5639549113945,628.5545483643102,2.0,6.0,2019.0,14.0
115,736.1668727916267,195.1316099222396,262.9475039706932,1783.3295341356334,2.0,6.0,2019.0,15.0
116,825.7508477617977,244.95574723576885,321.5318796623068,2796.677448889094,2.0,6.0,2019.0,16.0
117,872.8760698576953,266.39245864135313,357.00275810021014,3655.873187579839,2.0,6.0,2019.0,17.0
118,898.5654632779509,169.022576633809,705.0227277883629,5453.813906209584,2.0,6.0,2019.0,18.0
119,911.0679620969934,171.2831972727995,717.6551310761986,6337.800321822022,2.0,6.0,2019.0,19.0
120,913.6693871073617,171.9747806696047,720.653056202214,6883.277534702399,2.0,6.0,2019.0,20.0
121,907.0004544976659,170.81635913990164,713.2030294919948,7013.310457974542,2.0,6.0,2019.0,21.0
122,889.4140068188289,167.198997438562,696.9599721514021,6724.3864155905785,2.0,6.0,2019.0,22.0
123,855.9515448743199,159.81709169011526,665.809134188095,5998.901171026567,2.0,6.0,2019.0,23.0
124,794.2178920989652,145.2504977728321,611.8157880370275,4859.693736462826,3.0,6.0,2019.0,0.0
125,671.7159821536001,111.25834703630301,508.4932631587961,3268.0907883711075,3.0,6.0,2019.0,1.0
126,378.13738856741395,38.17843826991327,288.29631247563424,1190.8154730763233,3.0,6.0,2019.0,2.0
127,0.0,4.83241850838352,0.0,37.47019256873988,3.0,6.0,2019.0,3.0
