	DNI	DHI	Clear_Sky	pvwatts
39	243.5932578620191	74.14593565054555	467.1990125018415	637.4830940712168
40	325.7894551626276	180.95536432155438	716.603582159261	1620.4610843118517
41	380.1282973185974	224.57906318497382	822.0737969153979	2327.244993745593
42	409.3636045138537	246.4005069510317	875.2920117576263	2859.7508622263804
43	648.8367158582172	189.33300852768943	903.6160599578382	3890.317493505434
44	662.7039185284142	191.22477473981453	917.1603383148804	4188.476266082012
45	664.4889045487677	192.1406960594747	919.8073371708172	4258.147293072129
46	657.0477745929775	190.477846281576	912.2515487354405	4076.6946267470153
47	638.1985669941927	187.74870864973923	892.4662172537904	3670.579947595339
48	602.6997494202465	180.8830159184479	854.2771076449636	3051.6997362847524
49	446.57681829962064	182.2725356676908	781.4508834659723	2112.272095903484
50	349.76032998808745	128.93318300114638	628.136516582356	1225.5576396469658
51	178.57802977877336	11.26370490895833	228.9224835385729	152.82299657925884
52	0.0	-0.5825667449259538	0.0	-2.99536401349428
53	0.0	-0.6007537028611535	0.0	-3.09388156973494
54	0.0	-0.6007537028611535	0.0	-3.09388156973494
55	0.0	-0.7854842794226139	0.0	-4.0452440390264615
56	0.0	-0.7854842794226139	0.0	-4.0452440390264615
57	0.0	-0.7854842794226139	0.0	-4.0452440390264615
58	0.0	-0.7854842794226139	0.0	-4.0452440390264615
59	0.0	-0.7811140805341626	0.0	-4.0292467987553895
60	0.0	-0.7811140805341626	0.0	-4.0292467987553895
61	0.0	-0.42039315460716264	0.0	-2.168528022515281
62	0.0	0.14626729965775453	2.2182304678233913	0.7544954874012505
63	157.74136670763843	40.807780938332876	472.14333230690687	377.22303785683164
64	197.99666104392546	143.45744436654678	718.0926501941286	1158.1705772773903
65	228.5855063045597	196.0974186499586	822.5429814535255	1713.6096211602398
66	244.32571034240925	224.99037354706795	875.3677760948543	2106.4214326479114
67	284.8734124500156	242.99479608285813	903.5144221212631	2524.2199828134385
68	290.892733879453	250.04605301238453	916.9775103980503	2689.02657884953
69	292.53560914095954	250.60433760578888	919.5993191579454	2725.850297502611
70	285.43078599664216	250.23755017076508	912.0651693304538	2625.616884686292
71	276.57114286102006	239.5935754430452	892.3616527026264	2402.3959975323473
72	256.43863237055103	223.40645764826	854.3666613649468	2048.941827399679
73	225.39361583677191	189.72530850635783	782.0186471108902	1565.5782588366935
74	185.58065297142122	112.87414653101631	630.1155042134543	880.8560918694342
75	85.31018771213492	4.938239312402296	235.64602559855086	71.64908338050462
76	0.0	-0.6861560382346142	0.0	-3.5279856299229753
77	0.0	-0.6861560382346142	0.0	-3.5279856299229753
78	0.0	-0.6861560382346142	0.0	-3.5279856299229753
79	0.0	-0.7161884886582767	0.0	-3.6824024791846393
80	0.0	-0.7118889295389187	0.0	-3.6662279871254313
81	0.0	-0.7226741833643049	0.0	-3.7217720443261704
82	0.0	-0.7226741833643049	0.0	-3.7217720443261704
83	0.0	-0.7299627111661927	0.0	-3.765390985098944
84	0.0	-0.7299627111661732	0.0	-3.7653909850988434
85	0.0	-0.7763970387449678	0.0	-4.004914724859459
86	0.0	0.469107588312081	3.0874653546311643	2.419813309709818
87	205.54654166351702	62.984117517884464	476.86979730094356	544.9940579876204
88	287.58582010761916	167.63023252575172	719.510175591263	1475.9292529298323
89	343.6195771097182	209.80539609265432	822.9811311795241	2142.704694330334
90	373.5434064463328	231.42719525503267	875.4275917138563	2646.1140320709096
91	658.75226380783	176.12685640528613	903.4038240737303	3865.264720070821
92	671.9624669501673	178.3843567882012	916.7893780898117	4170.500744752154
93	673.8783868941172	179.24335900774022	919.3879704804931	4240.513736117883
94	667.9144543042944	178.5026203325867	911.8763626729358	4062.3660974378795
95	647.3826080535943	174.9731480662664	892.254572082752	3647.349816531809
96	611.5616486114111	168.75798745513026	854.4520403224179	3025.6213996819365
97	542.708077580383	157.05021308536385	782.5764993751279	2238.2434746807094
98	428.60606762164355	113.36998590539187	632.0613307842797	1281.4343851140634
99	222.26296010346496	1.5787832517847835	242.28850388260415	131.3232155586345
100	0.0	1.809728304337565	0.0	9.305019698135647
101	0.0	1.8491520512885748	0.0	9.507723463708755
102	0.0	1.8491520512885748	0.0	9.507723463708755
103	0.0	-1.1153540146981282	0.0	-5.734778558906209
104	0.0	-1.0919009910013882	0.0	-5.623290103657149
105	0.0	-1.1016748324025136	0.0	-5.673625386872946
106	0.0	-1.1016748324025136	0.0	-5.673625386872946
107	0.0	-1.0867280570334976	0.0	-5.605705560864459
108	0.0	-1.0867280570334976	0.0	-5.605705560864459
109	0.0	-1.1076361361189988	0.0	-5.713556402147169
110	0.0	1.4789829707444964	4.1722056802316185	7.629087157423694
111	240.1432743899504	79.07470396136036	481.3849881030713	668.2739295484967
112	335.0003067139016	178.1070327220656	720.858059377365	1634.85202086537
113	397.28154644282006	215.6439165042078	823.3890734560108	2342.9551479374504
114	426.8337786678034	236.9221617030123	875.4719783341432	2886.1250050685885
115	514.2991469993959	218.61654265385314	903.2846668456706	3437.3560218033017
116	526.8287085510058	221.0453205035116	916.5962860547932	3689.5031010166517
117	528.5062770652997	221.94226386127303	919.1736040843125	3746.898000025562
118	522.1797531028465	220.9795293778994	911.6854196640353	3596.7449718117527
119	503.1698326091166	216.98438652624395	892.1452444481386	3254.160477729426
120	472.90944725713024	207.4275247788745	854.5334803814474	2737.6579930209177
121	419.9684902441037	186.6264054236633	783.1246125992571	2069.449299578592
122	331.7913719874662	129.82225992753138	633.9741042518602	1211.7167509979788
123	181.02683411132247	6.525404327277612	248.84491574792943	136.07440646225288
124	0.0	-0.6158590041305407	0.0	-3.16654171290453
125	0.0	-0.5587625363022142	0.0	-2.872970707487218
126	0.0	-0.5068271811795013	0.0	-2.6059364232312694
127	0.0	-0.7526490494134158	0.0	-3.869870529067313
128	0.0	-0.7599196245165742	0.0	-3.9135860662603577
129	0.0	-0.7436068176001133	0.0	-3.829575110640584
130	0.0	-0.7352434603099592	0.0	-3.78650382059629
131	0.0	-0.7398799382738188	0.0	-3.816547348262449
132	0.0	-0.7263375330259749	0.0	-3.7466911078589877
133	0.0	-0.7398799382738188	0.0	-3.816547348262449
134	0.0	1.550814661631613	5.487929465968783	7.999618962916403
135	215.99090695263536	68.34899143607952	485.69523200905104	589.5784999976034
136	300.835666059042	169.0344306055711	722.1381336339965	1518.3826443098037
137	356.91045291831585	210.05936910434195	823.767614844866	2192.3537879314076
138	387.6035135312265	229.9942728473399	875.5014462998535	2700.3841182389137
139	430.7498190942208	235.96644207533973	903.1573456188835	3153.0850775233257
140	438.57355283528636	241.61593241014674	916.3985743083996	3369.5777322135527
141	440.40052676175173	241.94225408109438	918.9565285698706	3417.671643120529
142	433.8473241085659	241.18713494956424	911.4926266981598	3286.256502852291
143	421.7847892535279	232.92926084185805	892.033933874826	2992.7567377558767
144	395.1044466022401	222.0280597805657	854.6112117962505	2540.0532316224107
145	346.45111014475833	200.00995622493778	783.6631534904161	1946.311138738958
146	271.9615535544287	137.82894427569116	635.853933170362	1157.5779714922169
147	152.77829032584023	11.315451489853599	255.31071231665175	146.5294724748446
148	0.0	-0.769715047975232	0.0	-3.957618205005985
149	0.0	-0.769715047975232	0.0	-3.957618205005985
150	0.0	-0.769715047975232	0.0	-3.957618205005985
151	0.0	-0.7743252409602069	0.0	-3.981322280603731
152	0.0	-0.7454167079884335	0.0	-3.838896046140433
153	0.0	-0.7454167079884335	0.0	-3.838896046140433
154	0.0	-0.7454167079884335	0.0	-3.838896046140433
155	0.0	-0.7505331025049545	0.0	-3.8714999204213907
156	0.0	-0.7505331025049545	0.0	-3.8714999204213907
157	0.0	-0.7889979925282552	0.0	-4.069914644791583
158	0.0	2.178720392124433	7.043177831519567	11.238566022708534
159	225.03048100902504	75.53245241954954	489.80657753000503	639.3968721086344
160	317.1832260894468	174.16774223021105	723.3521527651264	1583.5229824998607
161	376.4687572538135	212.64794890512977	824.1175361751848	2270.197666358883
162	407.38089067725053	232.82420903004794	875.5164938648114	2791.252670829913
163	432.3940160901779	238.09968138899566	903.0222483862447	3174.525505682392
164	442.40353963164443	242.13288188467072	916.1965778971522	3393.6954267144492
165	444.36119331655794	242.8992987722922	918.7370488099746	3439.3015764040624
166	438.90973981341205	241.0285466832645	911.2982673701696	3306.7373205992885
167	426.15288222346004	232.50700224724804	891.9209027279754	3007.212844043027
